price,rooms,metro,metro_time,description,address,Общая,Жилая,Кухня,Этаж,Построен,Можно с детьми,Холодильник,Посудомоечная машина,Стиральная машина,Мебель в комнатах,Мебель на кухне,Кондиционер,Телевизор,Интернет,Ванна,Планировка,Высота потолков,Санузел,Ванная комната,Балкон/лоджия,Ремонт,Вид из окон,Лифты,Аварийность,Парковка,Мусоропровод,Газоснабжение,lat,lng,URL,Год постройки,Строительная серия,Тип дома,Тип перекрытий,Подъезды,Отопление,Душевая кабина,Можно с животными,Тип жилья
37 000 ₽/мес.,"2-комн. квартира, 44,1 м²",Ленинский проспект, ⋅  11 мин. пешком,"Сдаётся квартира на длительный период в 10 минутах от метро Ленинский проспект. Дом комфорт-класса. В квартире есть всё необходимое. Сделан хороший ремонт. Вся необходимая для жизни инфраструктура в пешей доступности. Во дворе садики, рядом школа. Имеются парковки-стоянки. Залог 37000. К/у оплачиваются отдельно. Отдам предпочтение семейной паре или девушке. Животные по договорённости.","Санкт-Петербург, р-н Кировский, Княжево, просп. Народного ополчения, 10","44,1 м²",23 м²,9 м²,4 из 21,2013,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Смежно-изолированная,"2,8 м",1 раздельный,Есть,"1 балкон, 1 лоджия",Дизайнерский,На улицу,"1 пасс., 1 груз.",Нет,Наземная,Нет,Автономное,59.850952,30.281418,https://spb.cian.ru/rent/flat/246712086/,,,,,,,,,
14 000 ₽/мес.,"1-комн. квартира, 33 м²",,,"Сдается на длительный срок 1 комн. квартира, произведен косметический ремонт, квартира светлая и теплая, из окон открывается прекрасный вид. В квартире имеется вся необходимая для проживания мебель и техника- диван, шкаф,  кухонная мебель, холодильник, микроволн. печь, стиральная машина автомат. Звоните, показы по договоренности.","Санкт-Петербург, р-н Красносельский, мкр. Красное Село, Кингисеппское ш., 6",33 м²,18 м²,7 м²,6 из 9,1975,,1.0,,1.0,1.0,1.0,,,,1.0,,,1 совмещенный,Есть,1 балкон,Косметический,Во двор,Есть,Нет,,Есть,Центральное,59.721511,30.076242,https://spb.cian.ru/rent/flat/246711397/,1975,1-528КП,Кирпичный,Железобетонные,4,Центральное,,,
25 000 ₽/мес.,"2-комн. квартира, 44,7 м²",Пионерская, ⋅  15 мин. пешком,"Сдается 2х комнатная квартира, от собственника, на длительный срок. С мебелью и бытовой техникой. Для граждан РФ, можно с детьми.
Квартира уютная и светлая. Дом теплый, с мусоропроводом. Счётчики на воду, электричество. Свежий ремонт (март 2020г.).С/У в кафельной плитке (советского образца). Установлена железная дверь, домофон, интернет и т.д. Окна выходят во двор, тихо, спокойно. Во дворе детский сад, рядом школа. Вся инфраструктура в пешей доступности. 
До метро Пионерская или Комендантский Проспект - 7-10 мин. пешком, или 3 мин. транспортом. (остановка рядом).
Оплата: 25000р. + КУ(примерно 3800р.(летом дешевле)) + залог за 1 мес.(можно разбить на две части). Составление договора. Без комиссии! Звонить с 9-00 до 21-30.","Санкт-Петербург, р-н Приморский, Комендантский аэродром, Серебристый бул., 22К3","44,7 м²",27 м²,6 м²,4 из 9,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,Изолированная,,1 раздельный,Есть,1 лоджия,Косметический,Во двор,Есть,Нет,,Есть,,60.006345,30.278911,https://spb.cian.ru/rent/flat/246711314/,,,,,,,,,
20 000 ₽/мес.,"1-комн. квартира, 35 м²",Звездная, ⋅  25 мин. пешком,"Сдается на долгий срок, светлая и теплая квартира, от собственника.
Ухоженный двор с детскими площадками. Магазины и пекарня в шаговой доступности.
В квартире свежий ремонт и новая мебель.
В комнате раскладывающийся диван, комод, вешалка для одежды.
Кухня оборудована гарнитуром, электроплитой с духовым шкафом, холодильник, чайник. Есть посуда.
Ванна со стиральной машиной.
До метро Зведная пешком 25 мин. Транспорт от метро пустят в декабре.","Санкт-Петербург, р-н Московский, Звёздное, проезд Дизельный, 11к1",35 м²,"15,4 м²","9,6 м²",14 из 18,2019,1.0,1.0,,1.0,1.0,1.0,,,,,,,1 совмещенный,,1 лоджия,Евроремонт,На улицу,"1 пасс., 1 груз.",Нет,Наземная,,,59.819382,30.340976,https://spb.cian.ru/rent/flat/246709991/,2019,,,Железобетонные,5,,1.0,,
22 000 ₽/мес.,"Студия, 22 м²",Удельная, ⋅  10 мин. пешком,"EMLS ID 369220. Высокий первый этаж, отличный ремонт, повышенная шумоизоляция, применение современных технологий и экологически чистых материалов.Новая мебель. Отличное место, рядом центр,две станции метро, парк, места культурного отдыха, гипермаркеты и торговые центры. Есть закрытая парковка во дворе, высокий уровень безопасности. Возможна аренда от 3 месяцев Мебель в комнатах, Мебель на кухне, спальных мест 2, Хол.-Есть, TV-Есть, Евроремонт, Ванна Душ, Дверь Железная, Охраняемая парковка, окна во двор, Стиральная машина, Интернет, комиссия 0%;","Санкт-Петербург, р-н Выборгский, Светлановское, Нежинская ул., 4",22 м²,14 м²,3 м²,1 из 5,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,,Евроремонт,Во двор,Есть,,,,,60.007645,30.323037,https://spb.cian.ru/rent/flat/246709436/,,,,,,,1.0,1.0,
39 000 ₽/мес.,"2-комн. квартира, 54,9 м²",Приморская, ⋅  15 мин. пешком,"Впервые сдаётся 2-комнатная квартира с евроремонтом, раздельным санузлом и лоджией, без депозита! Счётчики включены в арендную плату, коммунальные услуги оплачиваются отдельно. Полы  ламинат и плитка, в коридоре пол с подогревом. Квартира оборудована кухонным гарнитуром, мебелью и бытовой техникой. Есть микроволновая печь, холодильник, телевизор, душ, плита и стиральная машина. Проведён интернет с Wi-Fi и подключено ТВ. Окна выходят во двор и на улицу, есть бесплатная и парковка.

До м. Приморская можно дойти за 15 минут.

Собственник готов заселить не более 3 взрослых жильцов с детьми, оформить временную регистрацию или заключить договор с юридическим лицом. Гражданство: РФ и РБ. Можно с небольшой собакой или питомцем в клетке/аквариуме. Вывоз мебели по согласованию.

Дом находится в районе с развитой инфраструктурой: в пешей доступности  школы и детские сады, продуктовые супермаркеты, салоны красоты и парикмахерские, фитнес-клубы, спортивный комплекс, аптеки и медицинские учреждения, кафе, бары и закусочные, ТЦ Морской. Недалеко парк Декабристов и сквер Александра Володина.","Санкт-Петербург, р-н Василеостровский, Остров Декабристов, ул. Кораблестроителей, 40К1","54,9 м²",32 м²,11 м²,12 из 16,1982,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,Изолированная,"2,6 м",1 раздельный,Есть,1 лоджия,Евроремонт,На улицу и двор,"1 пасс., 1 груз.",,Наземная,,,59.957363,30.223629,https://spb.cian.ru/rent/flat/246708456/,,,Панельный,,,,1.0,1.0,
22 000 ₽/мес.,"1-комн. квартира, 35 м²",,,"Сдам однокомнатную квартиру на улице Парашютная 65 (ЖК ""Шуваловский""). Метро Комендантский проспект. Собственник. Без комиссии. Новый дом. 17 этаж с видом на церковь. Вся мебель и техника новые, всё на гарантии. Для славян и без животных. Стоимость 22 000 рублей + к/у. Залог 100% (можно разбить на 2 месяца). Александр","Санкт-Петербург, р-н Приморский, Коломяги, Парашютная ул., 65",35 м²,14 м²,9 м²,17 из 25,2017,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,Есть,1 балкон,Евроремонт,,"2 пасс., 2 груз.",Нет,Наземная,Нет,,60.037674,30.250668,https://spb.cian.ru/rent/flat/246705023/,2017,,,Железобетонные,5,Центральное,,,
24 000 ₽/мес.,"2-комн. квартира, 49 м²",Дунайская, ⋅  5 мин. пешком,"EMLS ID 369219. Сдам 2к.кв. на длительный срок для семьи (можно с детьми) в пешей доступности от ст. м. ""Дунайская"". Квартира чистая, светлая. Без животных.
Залог можно разбить на 2 части. КУ оплачиваются дополнительно. Мебель в комнатах, Мебель на кухне, спальных мест 2, Хол.-Есть, TV-Есть, Ремонт Косметический, Ванна Продольная, НеОхраняемая парковка, без животных, комиссия 40%;","Санкт-Петербург, р-н Фрунзенский, № 75, Моравский пер., 7К1",49 м²,27 м²,7 м²,9 из 12,1983,1.0,1.0,,,1.0,1.0,,1.0,,1.0,Изолированная,,,Есть,,Косметический,,Есть,Нет,,,,59.838783,30.423801,https://spb.cian.ru/rent/flat/246703672/,1983,,Панельный,Железобетонные,6,Центральное,,,
20 800 ₽/мес.,"Студия, 22,6 м²",Комендантский проспект, ⋅  5 мин. на транспорте,"Сдам квартиру славянам. С 10 декабря 2020 года!
На долгий срок (от 6 месяцев). Договор обязателен! 

ЖК ""Граффити"". 20тыс руб. + КУ + залог 20тыс
На машине 8 минут до метро Пионерская и 5 минут до метро Комендантский проспект.

Яркие, оригинальные парадные, лифты Kone, видео наблюдение, консьерж. Современный жилой комплекс комфорт-класса, с благоустроенным, красивым двором. 

В доме: 
- Работающая, пожарная сигнализация, 
- Лифты Kone, 
- Видео наблюдение, 
- Консьерж, 
- Панорамные входные группы с двумя выходами  на улицу и во двор,
- Помывочная для велосипедов, колясок и собак, 
- Велосипедная парковка, 
- Детская площадка, 
- Паркинг,
- Супермаркет ""Лента"" в пешей доступности (3 мин).

В полностью оборудованной квартире: 
- Вся новая бытовая техника (холодильник, тв, плита, вытяжка, стиральная машина, утюг),
- Проведены тв и интернет,
- На кухне угловой диван для отдыха,
- Большой балкон, установлены дополнительные места для хранения ikea,
- Вся мебель новая,
- Стеклопакеты с вентиляционным клапаном Airbox, 
- Натяжные потолки, 
- Светодиодные лампы (небольшое энергопотребление),
- Обои под покраску (выкрашены в белый цвет),
- Напольное покрытие ламинат,
- Ванна закреплена,
- На балконе вентиляционное окно,
- Счетчики воды выведены,
- Домофон,
- Новый, цифровой тв. 

Звоните, пишите.","Санкт-Петербург, р-н Приморский, Юнтолово, просп. Королева, 57к1","22,6 м²","15,5 м²",,16 из 24,2016,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,Есть,1 балкон,Косметический,Во двор,3 пасс.,,,Есть,,60.028105,30.247138,https://spb.cian.ru/rent/flat/246703381/,,,Монолитный,,,,,,
55 000 ₽/мес.,"3-комн. квартира, 95 м²",Комендантский проспект, ⋅  3 мин. на транспорте,"Квартира в отличном состояние. Ранее не сдавалась. Жили сами собственники. Соответственно сделан хороший ремонт, стоит хорошая мебель и техника. Кухня встроенная , есть посудомойка. Из кухни вход в гостиную. Гостиная проходная (смотрите фото). Две комнаты изолированные. Есть кондиционер. Две лоджии. Все функционирует и отлично работает. Если нужна что-то дополнительно, то можно обсудить с собственником покупку за его счет, в пределах разумного. Сдается на длительный срок, с животными можно. Дом с закрытой территорией. Есть место в подземном паркинге за отдельную плату. Квартира чистая, уютная, приятно находиться. Развитая инфраструктура, магазины, кафе, аптеки, фитнес. Сдается на длительный срок. Продавать не собираемся. Залог можно выплатить в рассрочку.

ВСЕ КАК НА ФОТО!

Сдается через наше агентство. Заключаем договор.

Комиссия всего 50%","Санкт-Петербург, р-н Приморский, Юнтолово, Парашютная ул., 17К2",95 м²,60 м²,15 м²,3 из 4,2001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Смежно-изолированная,,2 раздельных,Есть,2 лоджии,Евроремонт,,,Нет,,,,60.019014,30.275228,https://spb.cian.ru/rent/flat/246702450/,2001,,,Железобетонные,2,Центральное,1.0,1.0,
40 000 ₽/мес.,"2-комн. квартира, 65 м²",Лиговский проспект, ⋅  2 мин. пешком,"EMLS ID 353442. Предлагается в аренду 2 ком.квартира в пешей доступности от ст.метро ""Лиговский проспект"". Развитая инфраструктура. В квартире имеется вся необходимая мебель и техника для комфортного проживания. Мебель в комнатах, Мебель на кухне, Хол.-Есть, TV-Есть, Евроремонт, Ванна Отдельная, Стиральная машина, без животных, комиссия 100%, Агентам не звонить;","Санкт-Петербург, р-н Центральный, Владимирский, Лиговский просп., 105",65 м²,32 м²,12 м²,8 из 9,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,Изолированная,,,Есть,,Евроремонт,,Есть,Нет,,,Центральное,59.921813,30.354199,https://spb.cian.ru/rent/flat/246702437/,1977,,Кирпичный,Железобетонные,5,Центральное,,,
18 000 ₽/мес.,"Студия, 23,5 м²",Комендантский проспект, ⋅  15 мин. на транспорте,"Впервые сдаётся уютная квартира-студия с застеклённой лоджией и евроремонтом в ЖК Полис на Комендантском. Полы  ламинат и плитка. Квартира оснащена кухонным гарнитуром, всей необходимой мебелью и бытовой техникой. Есть плита, стиральная машина и холодильник. Можно вывезти часть мебели по согласованию. Окна выходят в ухоженный двор и на улицу. 

В 5 минутах от дома  остановка общественного транспорта, от которой за 10 минут можно доехать до м. Комендантский проспект. Автомобилистам будет удобно выезжать на ЗСД. 

Собственник готов заселить не более 2 взрослых жильцов с детьми. Любое гражданство. Можно с кошкой или небольшой собакой. 

Около дома можно припарковать автомобиль, в пешей доступности находятся: школа, детский сад, продуктовые супермаркеты, салон красоты, медицинский центр, аптеки, ТЦ Монпасье, кафе. Недалеко  огромный Юнтоловский лесопарк и Изотовский сквер.","Санкт-Петербург, р-н Приморский, Юнтолово, ул. Плесецкая, 14","23,5 м²",13 м²,4 м²,18 из 25,2019,1.0,1.0,,1.0,1.0,1.0,,,,,,"2,8 м",1 совмещенный,,1 лоджия,Евроремонт,На улицу и двор,"2 пасс., 1 груз.",,Наземная,,,60.035225,30.218491,https://spb.cian.ru/rent/flat/246702412/,,,Монолитный,,,,1.0,1.0,
18 000 ₽/мес.,"1-комн. квартира, 37,7 м²",Купчино, ⋅  10 мин. пешком,"Сдаётся светлая 1-комнатная квартира с евроремонтом, совмещённым санузлом и балконом в ЖК Дом на Школьной. Коммунальные услуги и счётчики оплачиваются отдельно. Квартира оборудована кухонным гарнитуром, мебелью и бытовой техникой. Есть микроволновая печь, холодильник, телевизор, плита, утюг и стиральная машина. 
Проведён интернет и подключено ТВ. Окна выходят на улицу, во дворе есть бесплатная парковка.

До м. Купчино  10 минут пешком. До м. Дунайская  25 минут на общественном транспорте.

Собственник готов заселить не более 2 взрослых жильцов или заключить договор с юридическим лицом. Гражданство: РФ, РБ и Украина. С домашним питомцем нельзя.

Дом находится в районе с развитой инфраструктурой: в пешей доступности  продуктовые супермаркеты, салоны красоты и парикмахерские, барбершопы, фитнес-клубы, аптеки и медицинские учреждения, банки, кафе и закусочные.","Санкт-Петербург, р-н Пушкинский, мкр. Шушары, Первомайская ул., 8","37,7 м²",16 м²,10 м²,9 из 18,2014,,1.0,,1.0,1.0,1.0,,1.0,,,,"2,4 м",1 совмещенный,,1 балкон,Евроремонт,На улицу,"1 пасс., 1 груз.",Нет,Наземная,,,59.808962,30.377007,https://spb.cian.ru/rent/flat/246702411/,2014,,Монолитный,Железобетонные,1,Центральное,,1.0,
20 000 ₽/мес.,"1-комн. квартира, 44,7 м²",Автово, ⋅  9 мин. на транспорте,"Сдаётся светлая 1-комнатная квартира с балконом и гардеробной! Квартира оснащена кухонным гарнитуром, всей необходимой мебелью и бытовой техникой. Есть микроволновка, стиральная машина, телевизор и холодильник. Интернет проведён, есть роутер, подключено кабельное телевидение. Окна выходят во двор.  

В 2 минутах пешком  остановка общественного транспорта, от которой за 7 минут можно доехать до м. Автово. Автомобилистам будет удобно выезжать на проспект Маршала Жукова.  

Собственник готов заселить не более 2 взрослых жильцов с детьми от 4 лет. Гражданство: РФ, РБ, Украина, Грузия, Армения. Можно с небольшой собачкой по согласованию. 

Около дома есть бесплатная парковка. Дом расположен в районе с развитой инфраструктурой, в пешей доступности находятся: продуктовые супермаркеты Пятёрочка и Перекрёсток, аптеки, медицинский центр, стоматология, гипермаркет ОКей, кафе, ТЦ Фиолент. Недалеко  Александрино и Полежаевский парки.","Санкт-Петербург, р-н Красносельский, Юго-Запад, ул. Маршала Казакова, 26","44,7 м²",20 м²,11 м²,8 из 16,2011,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,"2,4 м",1 совмещенный,Есть,1 балкон,Евроремонт,Во двор,"1 пасс., 1 груз.",Нет,Наземная,,,59.859298,30.223683,https://spb.cian.ru/rent/flat/246702409/,2011,,Панельный,Железобетонные,3,Центральное,,1.0,
48 800 ₽/мес.,"1-комн. квартира, 50,5 м²",Чернышевская, ⋅  15 мин. пешком,"Большая 1-комнатная квартира у Воскресенской набережной, сдаётся без депозита! Хороший ремонт, полы  ламинат и плитка, есть вся необходимая мебель и техника для комфортного проживания: холодильник, стиральная и посудомоечная машины, телевизор, микроволновка. Утюг готов купить собственник. Интернет проведён. Окна выходят во двор.

В 15 минутах пешком  м. Чернышевская.

Гражданство жильцов не имеет значения. С домашним питомцем нельзя. Коммунальные услуги и счётчики оплачиваются отдельно.

Отличное расположение дома: в шаговой доступности  продуктовые супермаркеты, детский сад, школа, поликлиника, почта, фитнес-клуб с бассейном, салоны красоты, кафе и бистро, городские достопримечательности. Рядом  Таврический сад, несколько скверов.","Санкт-Петербург, р-н Центральный, Смольнинское, Шпалерная ул., 52а","50,5 м²",21 м²,13 м²,2 из 4,2002,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,"2,4 м",1 совмещенный,Есть,,Евроремонт,Во двор,Есть,,Наземная,,,59.949487,30.372363,https://spb.cian.ru/rent/flat/246702408/,,,Кирпичный,,,,1.0,,
27 100 ₽/мес.,"1-комн. квартира, 35,9 м²",Проспект Просвещения, ⋅  22 мин. на транспорте,"БЕСКОНТАКТНЫЙ ПРОСМОТР СЕГОДНЯ И КАЖДЫЙ ДЕНЬ: вы будете находиться в квартире без сопровождающих, а наш менеджер поможет войти в квартиру и ответит на вопросы по телефону. 

Сдаётся светлая 1-комнатная квартира в современном ЖК Орловский парк, без депозита! Коммунальные услуги включены в арендную плату (счётчики оплачиваются отдельно). Выполнен качественный евроремонт, полы  ламинат и плитка. Санузел смежный, установлена ванна. При заселении собственник установит кухонный гарнитур. Окна выходят во двор, есть бесплатная парковка.

В 7 минутах пешком находится остановка, от которой за 15 минут на общественном транспорте можно добраться до м. Проспект Просвещения.

Собственник готов заселить не более 4 взрослых жильцов с детьми и докупить мебель/технику. Гражданство: РФ, РБ, Украина. С домашним питомцем нельзя.

В пешей доступности школы и детские сады, аптеки, продуктовые супермаркеты, конный клуб, Новоорловский лесопарк и Нижнее Большое Суздальское озеро.","Санкт-Петербург, р-н Приморский, Коломяги, просп. Орлово-Денисовский, 19к3","35,9 м²",13 м²,16 м²,16 из 25,2019,1.0,,,,,,,,,1.0,,"2,6 м",1 совмещенный,Есть,1 лоджия,Евроремонт,Во двор,"2 пасс., 1 груз.",,Наземная,,,60.055574,30.26956,https://spb.cian.ru/rent/flat/246702407/,,,Панельный,,,,1.0,,
46 800 ₽/мес.,"2-комн. квартира, 70 м²",Лесная, ⋅  11 мин. пешком,"Впервые сдаётся новая 2-комнатная квартира с просторной кухней-гостиной, балконом и 2 санузлами в ЖК Георг Ландрин. Без комиссии и депозита! Возможно арендовать квартиру с депозитом с уменьшением арендной платы. Коммунальные платежи включены в арендную плату (счётчики оплачиваются отдельно). Выполнен качественный евроремонт, полы  ламинат и плитка. Квартира оснащена всей необходимой мебелью и бытовой техникой. Есть плита, стиральная машина, микроволновка, утюг и холодильник. Матрас с независимым блоком пружин. Всё недочёты в виде недостающего шкафчика на кухне, неправильно установленной столешницы, лишнего дивана и стиральной машины будут устранены. Можно вывезти часть мебели по согласованию. После выселения текущих жильцов будет произведён клининг. Видовая квартира с окнами на сквер. 

В 5 минутах пешком  м. Лесная (800 метров). До ТРЦ Европолис можно доехать за 5 минут на машине или дойти за 18 минут. 

Собственник готов заселить не более 4 взрослых жильцов с детьми, а также оформить временную регистрацию. Любое гражданство. Можно с домашним питомцем. Заселение возможно с 30.12.2020 г.

Жилой квартал Георг Ландрин расположен в исторической локации всего в 800 метрах от метро Лесная и в 5 минутах езды на автобусе от Петроградской. Прогулка до Выборгской набережной займёт всего 10 минут, с восточной стороны расположен парк Лесотехнического университета. Двор комплекса без машин, безопасен для прогулок с детьми, во дворе есть яблоневый сад. В пешей доступности находятся: остановки общественного транспорта, собственный детский сад с бассейном, спортивные площадки, продуктовые супермаркеты, медицинский центр, детская больница св. Ольги, аптеки, салон красоты, прачечная, филармония для детей и юношества, кафе и рестораны, фитнес-клуб, футбольный стадион. Во дворе есть бесплатная парковка. Недалеко  зелёный массив и Воронинский сквер.","Санкт-Петербург, р-н Выборгский, Сампсониевское, Большой Сампсониевский просп., 77/7",70 м²,"27,4 м²",10 м²,2 из 16,2019,1.0,1.0,,1.0,1.0,1.0,,,,1.0,Изолированная,"2,7 м","1 совмещенный, 1 раздельный",Есть,1 балкон,Евроремонт,На улицу,"1 пасс., 1 груз.",,Наземная,,,59.987834,30.334382,https://spb.cian.ru/rent/flat/246702406/,,,Монолитный,,,,1.0,1.0,
23 000 ₽/мес.,"Студия, 24,7 м²",Комендантский проспект, ⋅  7 мин. на транспорте,"Впервые сдаётся квартира-студия с евроремонтом, смежным санузлом и лоджией в ЖК Мореокеан! Полы  ламинат и плитка. Квартира оборудована кухонным гарнитуром, мебелью и бытовой техникой. Есть микроволновая печь, холодильник, плита, душ, утюг и стиральная машина. Проведён интернет с Wi-Fi и подключено ТВ. Можно приобрести мебель/технику в счёт аренды. Окна выходят во двор, есть бесплатная парковка. Коммунальные услуги включены в арендную плату.

В 2 минутах пешком находится остановка, от которой на общественном транспорте за 5 минут можно добраться до м. Комендантский проспект.

Собственник готов заселить не более 2 взрослых жильцов, оформить временную регистрацию, вывезти часть мебели или заключить договор с юридическим лицом. Гражданство: РФ. С домашним питомцем нельзя.

Дом находится в районе с развитой инфраструктурой: в пешей доступности  продуктовые супермаркеты Перекрёсток, Лента, Окей, кафе, закусочные, бары, салоны красоты, парикмахерские, аптеки, медицинские учреждения, фитнес-клубы, Юнтоловский лесопарк и ТЦ Меркурий.","Санкт-Петербург, р-н Приморский, № 65, Яхтенная ул., 34","24,7 м²",16 м²,4 м²,19 из 25,2019,,1.0,,1.0,1.0,1.0,,1.0,1.0,,,"2,7 м",1 совмещенный,,1 лоджия,Евроремонт,Во двор,"2 пасс., 1 груз.",,Наземная,,,60.004267,30.223324,https://spb.cian.ru/rent/flat/246702405/,,,Панельный,,,,1.0,,
19 000 ₽/мес.,"Студия, 24 м²",Звездная, ⋅  15 мин. пешком,"EMLS ID 369217. Сдается квартира-студия в шаговой доступности т станции метро Звездная. Станция метро Московская 3 остановки на транспорте . Рядом ТК ЛЕТО ТК КОНТИНЕНТ МЕТРО ОБИ ОКЕЙ Пятерочка Магнит . До аэропорта минут на транспорте Придомовая территория примыкает к парку 
В квартире есть вся необходимая мебель и техника . Мебель в комнатах, Мебель на кухне, спальных мест 2, Хол.-Большой, TV-Есть, Евроремонт, Ванна Совмещенная, Дверь Железная, окна во двор, Стиральная машина, Интернет, комиссия 50%;","Санкт-Петербург, р-н Московский, Звёздное, Пулковское ш., 14с6",24 м²,"16,5 м²",,19 из 22,2020,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,Есть,,Евроремонт,Во двор,Есть,,,,,59.831254,30.328723,https://spb.cian.ru/rent/flat/246702261/,,,,,,,,1.0,
50 000 ₽/мес.,"4-комн. квартира, 140 м²",Комендантский проспект, ⋅  4 мин. на транспорте,"Еврочетырешка с кухней-гостиной (смотрите фото). Три комнаты изолированные. Квартира в отличном состояние. Ранее не сдавалась. Жили сами собственники. Соответственно сделан хороший ремонт, стоит хорошая мебель и техника. Кухня встроенная , есть посудомойка. В квартире два кондиционера. Два балкона. Есть сауна . Все функционирует и отлично работает. Если нужна какая то дополнительная мебель , то можно обсудить с собственником покупку за его счет, в пределах разумного. Сдается на длительный срок, с животными можно. Дом с закрытой территорией. Есть место в подземном паркинге за отдельную плату. Квартира чистая, уютная, приятно находиться. Развитая инфраструктура, магазины, кафе, аптеки, фитнес. Сдается на длительный срок. Продавать не собираемся. Залог можно выплатить в рассрочку.
ВСЕ КАК НА ФОТО!
Сдается через наше агентство. Заключаем договор.
Комиссия всего 50%","Санкт-Петербург, р-н Приморский, Юнтолово, Парашютная ул., 17К1",140 м²,96 м²,20 м²,2 из 4,2001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Смежно-изолированная,,1 совмещенный,Есть,2 лоджии,Евроремонт,,,Нет,,,,60.018394,30.274689,https://spb.cian.ru/rent/flat/246702086/,2001,,,Железобетонные,4,Центральное,1.0,1.0,
22 000 ₽/мес.,"2-комн. квартира, 46 м²",Проспект Ветеранов, ⋅  10 мин. пешком,"EMLS ID 369215. Сдаётся чистая уютная двухкомнатная квартира на длительный срок. В квартире имеется всё необходимое для проживания - мебель в комнатах, мебель на кухне, спальных мест - 2, холодильник, стиральная машина. Ремонт косметический. 10 минут пешком до метро проспект Ветеранов. Рядом школа, детский сад, магазины. Парк с озером. Предпочтение :Семейным, славянам, без животных. Залог 100 %. Тел.-Нет, Мебель в комнатах, Мебель на кухне, спальных мест 2, Хол.-Есть, TV-Есть, Ремонт Косметический, Ванна Продольная, Дверь Железная, НеОхраняемая парковка, застекленная лоджия, окна на улицу, Стиральная машина, без животных, комиссия 50%;","Санкт-Петербург, р-н Кировский, Дачное, просп. Ветеранов, 1К1",46 м²,27 м²,"6,3 м²",4 из 9,1974,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,Изолированная,,,Есть,1 лоджия,Косметический,На улицу,Есть,Нет,,,,59.847132,30.253588,https://spb.cian.ru/rent/flat/246700279/,,,,,,,,,
20 000 ₽/мес.,"1-комн. квартира, 31 м²",Московская, ⋅  15 мин. на транспорте,"EMLS ID 369216. Сдаётся прекрасная однокомнатная уютная теплая квартира. Окна выходят на лесочек между корпусами. Рядом школы, детские сады, библиотека, почта, поликлиника, магазины, ТРЦ Радуга, парк Победы, в пешей доступности станция пр. Славы, до метро Московская, Парк Победы 20 минут пешком. В квартире раздельный санузел, в ванной кафельная плитка, пол в коридоре и на кухне - тоже плитка, в комнате ламинат. Пластиковые окна. Балкон не застеклен.
В подъезде сделан ремонт, парковочные места всегда есть. Соседи хорошие, спокойные.
Оплата 20000+ счётчики. Залог за 1 месяц. Не против небольших и воспитанных животных) Мебель на кухне, Хол.-Есть, TV-Есть, Ремонт Косметический, Ванна Отдельная, Дверь Железная, балкон, окна во двор, Стиральная машина, Интернет, комиссия 50%;","Санкт-Петербург, р-н Московский, Гагаринское, Витебский просп., 31К3",31 м²,17 м²,6 м²,3 из 5,,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,,,,Есть,1 балкон,Косметический,Во двор,,Нет,,,,59.860382,30.356409,https://spb.cian.ru/rent/flat/246700278/,,,,,,,,1.0,
18 000 ₽/мес.,"Студия, 26 м²",Приморская, ⋅  5 мин. на транспорте,"Арт. 44141051 Сдаётся студия на срок от 11 месяцев. Общая площадь 26 кв.м. Есть балкон и совмещенный санузел. Квартира расположена на 16 этаже 18 этажного нового дома. Горячая вода из центрального водоснабжения. Свободная парковка. Санкт-Петербург по адресу Александра Грина дом 1, в центре города в Василеостровском районе в 5-минутной транспортной доступности до метро Приморская. В квартире есть мебель, телевизор, стиральная машина, холодильник, интернет.","Санкт-Петербург, р-н Василеостровский, Морской, бул. Александра Грина, 1",26 м²,15 м²,,16 из 18,,,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,1 совмещенный,,1 балкон,Евроремонт,,"1 пасс., 1 груз.",,Открытая,,,59.936999,30.204055,https://spb.cian.ru/rent/flat/246700157/,,,,,,,,,
