price,rooms,metro,metro_time,description,address,Общая,Жилая,Кухня,Этаж,Построен,Можно с детьми,Холодильник,Посудомоечная машина,Стиральная машина,Мебель в комнатах,Мебель на кухне,Кондиционер,Телевизор,Интернет,Ванна,Планировка,Высота потолков,Санузел,Ванная комната,Балкон/лоджия,Ремонт,Вид из окон,Лифты,Аварийность,Парковка,Мусоропровод,Газоснабжение,lat,lng,URL,Год постройки,Строительная серия,Тип дома,Тип перекрытий,Подъезды,Отопление,Душевая кабина,Можно с животными,Тип жилья
23 000 ₽/мес.,"1-комн. квартира, 34 м²",Озерки, ⋅  22 мин. пешком,"Общая площадь 34 кв.м площадь комнаты 16 кв.м. Застекленный длинный балкон на кухню и комнату, раздельный санузел. Квартира расположена на 9 этаже (из 10) . В квартире есть мебель, большая гардеробная, телевизор, стиральная машина, холодильник,ст/пак. Свободная парковка. Во дворе - оборудованная спортивная площадка. Ближайшие ст.Метро Удельная, Озерки и Пионерская. Рядом выезд на КАД.Тихий, зелёный и отлично развитый район, со всей инфраструктурой в шаговой доступности!","Санкт-Петербург, р-н Приморский, Коломяги, Афонская ул., 20",34 м²,16 м²,,9 из 10,1998,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,,Есть,1 балкон,Косметический,,Есть,Нет,,Есть,,60.030034,30.301333,https://spb.cian.ru/rent/flat/246620299/,1998,,Панельный,Железобетонные,4,Центральное,,,
25 000 ₽/мес.,"1-комн. квартира, 43 м²",Гражданский проспект, ⋅  10 мин. пешком,"EMLS ID 369119. От метро 10 мин пешком. Район с развитой инфраструктурой. В доме несколько продуктовых магазинов 24 часа, пекарня, кафе и многое другое. Гипермаркет ""Лента"" через дорогу от дома, работает круглосуточно. Прямой автобус в МЕГУ-Парнас. Удобный выезд на КАД. ЖК ""Новое Созвездие"". Закрытая, охраняемая территория. Видеонаблюдение. Консьерж. Окна на восток на тихую Киришкую ул. Квартира в жизнерадостных тонах (менее ярких, чем на фото), с интересными вариантами освещения. Просторная застекленная утепленная лоджия с вместительным шкафом. В комнате платяной шкаф и комод, при необходимости установят 2сп диван. Гардеробная в прихожей. В ванной нет раковины Сдается впервые. На длительный срок. Для 1/семейной пары, возможно с ребёнком. Без животных. 25тр+ЖКУ (летом без отопления 3150; + вода, свет по счётчикам). Залог вносится 2 частями. Мебель в комнатах, Мебель на кухне, Хол.-Есть, Ремонт Дизайнерский, НеОхраняемая парковка, застекленная лоджия, окна во двор, Стиральная машина, Интернет, без животных, комиссия 80%, Агентам не звонить;","Санкт-Петербург, р-н Калининский, № 21, просп. Просвещения, 99",43 м²,20 м²,13 м²,11 из 25,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,,,,1 лоджия,Дизайнерский,Во двор,Есть,Нет,,,,60.033185,30.428598,https://spb.cian.ru/rent/flat/246620272/,2008,,,Железобетонные,13,Автономная котельная,,,
25 000 ₽/мес.,"1-комн. квартира, 35 м²",Звездная, ⋅  6 мин. на транспорте,"Доп. описание: санузел раздельный, , пластиковые окна, в доме есть: открытый двор, без лифта, современный ремонт, также имеются: телефон, интернет, кабельное телевидение, счетчики холодной и горячей воды, домофон, железная дверь, телевидение, , , , , ,  . Номер в базе: 5079512.","Санкт-Петербург, р-н Московский, Звёздное, Пулковское ш., 40К3",35 м²,18 м²,13 м²,11 из 25,2013,,1.0,,1.0,,,,1.0,1.0,,,,1 раздельный,,1 балкон,Евроремонт,,,,,,,59.819047,30.327609,https://spb.cian.ru/rent/flat/246620253/,,,,,,,,,
23 000 ₽/мес.,"1-комн. квартира, 34 м²",Озерки, ⋅  22 мин. пешком,"Общая площадь 34 кв.м площадь комнаты 16 кв.м. Застекленный длинный балкон на кухню и комнату, раздельный санузел. Квартира расположена на 9 этаже (из 10) . В квартире есть мебель, большая гардеробная, телевизор, стиральная машина, холодильник,ст/пак. Свободная парковка. Во дворе - оборудованная спортивная площадка. Ближайшие ст.Метро Удельная, Озерки и Пионерская. Рядом выезд на КАД.Тихий, зелёный и отлично развитый район, со всей инфраструктурой в шаговой доступности!","Санкт-Петербург, р-н Приморский, Коломяги, Афонская ул., 20",34 м²,16 м²,,9 из 10,1998,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,,Есть,1 балкон,Косметический,,Есть,Нет,,Есть,,60.030034,30.301333,https://spb.cian.ru/rent/flat/246620299/,1998,,Панельный,Железобетонные,4,Центральное,,,
25 000 ₽/мес.,"1-комн. квартира, 43 м²",Гражданский проспект, ⋅  10 мин. пешком,"EMLS ID 369119. От метро 10 мин пешком. Район с развитой инфраструктурой. В доме несколько продуктовых магазинов 24 часа, пекарня, кафе и многое другое. Гипермаркет ""Лента"" через дорогу от дома, работает круглосуточно. Прямой автобус в МЕГУ-Парнас. Удобный выезд на КАД. ЖК ""Новое Созвездие"". Закрытая, охраняемая территория. Видеонаблюдение. Консьерж. Окна на восток на тихую Киришкую ул. Квартира в жизнерадостных тонах (менее ярких, чем на фото), с интересными вариантами освещения. Просторная застекленная утепленная лоджия с вместительным шкафом. В комнате платяной шкаф и комод, при необходимости установят 2сп диван. Гардеробная в прихожей. В ванной нет раковины Сдается впервые. На длительный срок. Для 1/семейной пары, возможно с ребёнком. Без животных. 25тр+ЖКУ (летом без отопления 3150; + вода, свет по счётчикам). Залог вносится 2 частями. Мебель в комнатах, Мебель на кухне, Хол.-Есть, Ремонт Дизайнерский, НеОхраняемая парковка, застекленная лоджия, окна во двор, Стиральная машина, Интернет, без животных, комиссия 80%, Агентам не звонить;","Санкт-Петербург, р-н Калининский, № 21, просп. Просвещения, 99",43 м²,20 м²,13 м²,11 из 25,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,,,,1 лоджия,Дизайнерский,Во двор,Есть,Нет,,,,60.033185,30.428598,https://spb.cian.ru/rent/flat/246620272/,2008,,,Железобетонные,13,Автономная котельная,,,
25 000 ₽/мес.,"1-комн. квартира, 35 м²",Звездная, ⋅  6 мин. на транспорте,"Доп. описание: санузел раздельный, , пластиковые окна, в доме есть: открытый двор, без лифта, современный ремонт, также имеются: телефон, интернет, кабельное телевидение, счетчики холодной и горячей воды, домофон, железная дверь, телевидение, , , , , ,  . Номер в базе: 5079512.","Санкт-Петербург, р-н Московский, Звёздное, Пулковское ш., 40К3",35 м²,18 м²,13 м²,11 из 25,2013,,1.0,,1.0,,,,1.0,1.0,,,,1 раздельный,,1 балкон,Евроремонт,,,,,,,59.819047,30.327609,https://spb.cian.ru/rent/flat/246620253/,,,,,,,,,
22 000 ₽/мес.,"Студия, 25 м²",Московская, ⋅  28 мин. на транспорте,"Предлагается шикарная студия в Московском районе. Развитая инфраструктура: аптеки, магазины, рестораны, кафе и другое находится рядом с жилым домом. Квартира располагается на 4 этаже и укомплектована всей необходимой мебелью и бытовой техникой: кухонный гарнитур, варочная поверхность, холодильник, микроволновая печь и другое. Федеральная компания ""Этажи"" гарантирует безопасность и чистоту сделки! . Номер в базе: 5081672.","Санкт-Петербург, р-н Московский, Новоизмайловское, 1-й Предпортовый проезд, 13",25 м²,18 м²,6 м²,4 из 12,2020,,1.0,,1.0,,,,1.0,1.0,,,,1 совмещенный,,1 балкон,Евроремонт,,"1 пасс., 1 груз.",,,,,59.842797,30.303229,https://spb.cian.ru/rent/flat/246620251/,,,,,,,,,
33 000 ₽/мес.,"1-комн. квартира, 42 м²",Черная речка, ⋅  14 мин. на транспорте,"Предлагается шикарная 1-комнатная квартира в Выборгском районе. Развитая инфраструктура: аптеки, магазины, рестораны, кафе и другое находится рядом с жилым домом. Квартира располагается на 10 этаже и укомплектована всей необходимой мебелью и бытовой техникой: кухонный гарнитур, варочная поверхность, духовой шкаф, посудомоечная машина и другое. Квартира в пешей доступности около 15-20 минут сразу от двух веток метро - синей (Чёрная речка) и красной (Лесная). Федеральная компания ""Этажи"" гарантирует безопасность и чистоту сделки! . Номер в базе: 5081642.","Санкт-Петербург, р-н Приморский, Чёрная речка, Земледельческая ул., 5к2",42 м²,20 м²,11 м²,10 из 20,2011,,1.0,,1.0,,,,1.0,1.0,,,,1 совмещенный,,1 балкон,Евроремонт,,"1 пасс., 1 груз.",,,,,59.990665,30.324447,https://spb.cian.ru/rent/flat/246620250/,,,,,,,,,
33 000 ₽/мес.,"1-комн. квартира, 44,6 м²",Старая Деревня, ⋅  8 мин. на транспорте,"Предлагается шикарная 1-комнатная квартира в Приморском районе. Развитая инфраструктура: аптеки, магазины, рестораны, кафе и многое другое находится рядом с жилым домом. В тихом и зеленом месте в 10 мин. ходьбы от м. Старая Деревня, в 5 мин. ходьбы от Елагина острова и ЦПКиО. Квартира располагается на 4 этаже и укомплектована всей необходимой мебелью и бытовой техникой: кухонный гарнитур, варочная поверхность, духовой шкаф, холодильник, стиральная машина. Федеральное агенство ""Этажи"" гарантирует Вам безопасность и скорость проведения сделки. Оплата комиссионного вознаграждения производится только по факту заселения. . Номер в базе: 4916940.","Санкт-Петербург, р-н Приморский, Чёрная речка, Дибуновская ул., 50","44,6 м²",26 м²,12 м²,4 из 16,2005,,1.0,,1.0,,,,1.0,1.0,,,,1 раздельный,,1 балкон,Евроремонт,,"1 пасс., 1 груз.",Нет,,,,59.98485,30.260029,https://spb.cian.ru/rent/flat/246620247/,2005,,Монолитный,Железобетонные,6,Центральное,,,
20 000 ₽/мес.,"Студия, 27,2 м²",Парнас, ⋅  9 мин. пешком,"Сдается студия в 7 минутах пешком до метро Парнас. Последний этаж. Светлая комната правильной формы 13.5 м2 с кондиционером, отделённая перегородкой кухня площадью 5м2. Застеклённый балкон. Дом 2016 года постройки с подземным паркингом, 2 лифта-1 грузовой и 1 пассажирский. 
В квартире есть всё необходимое: диван-кровать, стриральная машина, ванная, Wi-Fi, чайник, холодильник, оборудованная кухня с варочной панелью, духовым шкафом и микроволновкой. При входе есть гардеробная. 
Магазины, аптеки, кафе в шаговой доступности. В 10 минутах ходьбы Шуваловский парк - любимое место для прогулок местных жителей. До КАД - 5 мин. До ЗСД - 20 мин. 
Очень удобная транспортная доступность - остановки общественного транспорта. 5 минут на автомобиле до КАД. Вблизи ТЦ ""Мега-Парнас"", ТК ""Парнас-Сити"", ТЦ ""Гранд-Каньон"".","Санкт-Петербург, р-н Выборгский, мкр. Парголово, ул. Михаила Дудина, 12","27,2 м²","18,3 м²",5 м²,19 из 19,2016,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1 совмещенный,Есть,1 лоджия,Евроремонт,,2 пасс.,,,Есть,,60.071394,30.323683,https://spb.cian.ru/rent/flat/246619988/,,,Панельный,,,,,,
28 000 ₽/мес.,"2-комн. квартира, 62 м²",Пионерская, ⋅  21 мин. пешком,"Квартира,две комнаты сдается на год,счетчики оплачиваются дополнительно.","Санкт-Петербург, р-н Приморский, Комендантский аэродром, аллея Котельникова, 5К1",62 м²,30 м²,6 м²,6 из 9,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,Изолированная,,1 раздельный,Есть,,Косметический,Во двор,Есть,,,,,60.013393,30.289242,https://spb.cian.ru/rent/flat/246619948/,,,Панельный,,,,,,
45 000 ₽/мес.,"2-комн. квартира, 54,7 м²",Парк Победы, ⋅  2 мин. пешком,"Предлагается в аренду уютная, просторная 2-комнатная квартира в Московском районе. В квартире сделан качественный ремонт, а также есть всё необходимое для комфортного проживания.
Из плюсов этой квартиры можно выделить:
+ В квартире очень тихо и уютно.
+ Квартира полностью меблирована (спальный гарнитур, диван комфорт класса ""big size"", вместительный зеркальный шкаф - купе, прихожая).
+ Оборудована всей необходимой бытовой техникой (стиральная и посудомоечная машины, холодильник, микроволновая печь, чайник, вытяжка, пылесос, утюг, телевизор).
+ В шаговой доступности станция метро ""Парк Победы"" 2 минуты пешком.
+ Развитая инфраструктура и транспортное сообщение (аэропорт, вокзалы, ЗСД, центр - не более 15-20 минут). 
+ Квартира в исторической части города на Московском проспекте напротив Парка Победы.
Отличное и приятное место для прогулок по Питеру.
Эта квартира понравится всем, кто хочет жить близко к метро, а также ценит своё время, удобство и комфорт.","Санкт-Петербург, р-н Московский, Московская застава, Бассейная ул., 41","54,7 м²","37,5 м²",6 м²,2 из 6,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1 раздельный,,,Евроремонт,,Есть,Нет,Открытая,,,59.864652,30.32195,https://spb.cian.ru/rent/flat/246619490/,,,,,,,,1.0,
45 000 ₽/мес.,"2-комн. квартира, 67 м²",Приморская, ⋅  15 мин. пешком,"Предлагается в аренду видовая, просторная 2-комнатная квартира в Василеостровском районе. В квартире сделан качественный ремонт, а также есть всё необходимое для комфортного проживания.
Из плюсов этой квартиры можно выделить:

+ Красивый вид на сквер и воду.
+ В квартире очень тихо и уютно.
+ В кваpтирe ecть вce необходимоe для жизни.
+ Два телевизора, два домашних кинотеатра. Кондиционер, охранная сигнализация, спутниковое тв, интернет.
+ 2 комнаты изолированные.
+ До метро ""Приморская"" 15 минут пешком.
+ Развитая инфраструктура. 

Есть всё необходимое для жизни, не хватает только вашего чемодана с вещами. Отличное и приятное место для прогулок.
Эта квартира понравится всем, кто хочет жить близко к метро, а также ценит своё время, удобство и комфорт.","Санкт-Петербург, р-н Василеостровский, Морской, ул. Нахимова, 11",67 м²,43 м²,14 м²,12 из 14,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1 совмещенный,,,Дизайнерский,,"1 пасс., 1 груз.",,Открытая,,,59.941042,30.222102,https://spb.cian.ru/rent/flat/246619486/,,,,,,,,1.0,
